id,date,vaccines,tests,recovered,deaths,hosp,vent,icu,population,new_confirmed,confirmed
JPN,2020-03-03,0,2684,46,6,216,0,24,126529100,16,179
KOR,2020-03-03,0,125851,30,28,0,0,0,51606633,435,5517
SGP,2020-03-03,0,0,78,0,0,0,0,5638676,0,8
BEL,2020-03-04,0,1638,1,0,0,0,0,11433256,81,81
CHE,2020-03-04,0,0,3,0,0,0,0,8513227,62,123
CHN,2020-03-04,0,0,0,2984,0,0,0,1392730000,143,80440
DEU,2020-03-04,0,0,443,3,0,0,0,82905782,186,526
DPC,2020-03-04,0,0,10,6,0,0,0,3711,0,571
ESP,2020-03-04,0,0,2,2,0,0,0,46796540,37,139
FRA,2020-03-04,0,0,12,0,0,0,0,66977107,138,323
GBR,2020-03-04,0,0,8,3,0,0,0,66460344,50,163
IRN,2020-03-04,0,0,552,92,0,0,0,81800269,591,3374
ITA,2020-03-04,0,29837,276,107,1641,0,295,60421760,769,3629
JPN,2020-03-04,0,6519,48,6,230,0,24,126529100,33,212
KOR,2020-03-04,0,136707,41,35,0,0,0,51606633,467,5984
SGP,2020-03-04,0,0,78,0,0,0,0,5638676,7,15
USA,2020-03-04,0,2368,7,11,0,0,0,326687501,77,77
BEL,2020-03-05,0,2411,1,0,0,0,0,11433256,110,191
CHE,2020-03-05,0,0,3,2,0,0,0,8513227,73,196
CHN,2020-03-05,0,0,0,3016,0,0,0,1392730000,145,80585
DEU,2020-03-05,0,0,628,4,0,0,0,82905782,186,712
DPC,2020-03-05,0,0,10,6,0,0,0,3711,0,571
ESP,2020-03-05,0,0,2,3,0,0,0,46796540,141,280
FRA,2020-03-05,0,0,12,0,0,0,0,66977107,190,513
GBR,2020-03-05,0,0,8,6,0,0,0,66460344,81,244
IRN,2020-03-05,0,0,739,107,0,0,0,81800269,1234,4608
ITA,2020-03-05,0,32362,414,148,2141,0,351,60421760,778,4407
JPN,2020-03-05,0,6777,49,6,262,0,27,126529100,31,243
KOR,2020-03-05,0,146541,41,35,0,0,0,51606633,505,6489
SGP,2020-03-05,0,0,78,0,0,0,0,5638676,13,28
USA,2020-03-05,0,3569,7,12,0,0,0,326687501,53,130
